                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9431,                 4.6225,                 4.2994,                 0.0003,                    0.1,                0.00021,                  5e-05,                 2.3548,                 4.4687,                 4.1589,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.9519,                 4.6042,                 4.2461,                 0.0003,                    0.1,                0.00021,                  5e-05,                 2.3548,                 4.4686,                 4.1582,              4.902e-05,              4.902e-05,              4.902e-05
                      3,                 2.6526,                 4.5411,                 4.2993,                 0.0003,                    0.1,                0.00021,                  5e-05,                 2.3534,                 4.4672,                 4.1579,             8.0049e-05,             8.0049e-05,             8.0049e-05
                      4,                 2.7009,                 4.4946,                 4.3311,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3534,                 4.4656,                 4.1576,             0.00010976,             0.00010976,             0.00010976
                      5,                 2.6239,                 4.4197,                 4.2445,                  7e-05,                  0.025,                  4e-05,                      0,                 2.3524,                 4.4671,                 4.1563,             0.00013815,             0.00013815,             0.00013815
                      6,                 2.7183,                 4.4639,                 4.2412,                0.00024,                  0.075,                0.00014,                  2e-05,                 2.3504,                 4.4652,                 4.1552,             0.00016522,             0.00016522,             0.00016522
                      7,                 2.9399,                 4.4534,                 4.2475,                0.00024,                  0.075,                0.00014,                  2e-05,                  2.347,                 4.4651,                 4.1541,             0.00019096,             0.00019096,             0.00019096
                      8,                 2.9467,                 4.4066,                 4.2058,                0.00024,                  0.075,                0.00014,                  2e-05,                 2.3399,                 4.4648,                 4.1518,             0.00021539,             0.00021539,             0.00021539
                      9,                 2.6067,                 4.4108,                 4.1873,                0.00023,                  0.075,                0.00013,                  3e-05,                 2.3399,                  4.463,                 4.1508,              0.0002385,              0.0002385,              0.0002385
                     10,                 3.0235,                 4.3193,                 4.1743,                0.00015,                   0.05,                  8e-05,                  1e-05,                 2.3357,                 4.4644,                 4.1495,             0.00026029,             0.00026029,             0.00026029
                     11,                 2.9149,                  4.244,                  4.141,                0.00015,                   0.05,                  9e-05,                  1e-05,                  2.331,                 4.4617,                 4.1479,             0.00028076,             0.00028076,             0.00028076
                     12,                 2.7504,                 4.3062,                 4.1573,                0.00015,                   0.05,                  9e-05,                  1e-05,                 2.3249,                 4.4637,                 4.1455,              0.0002999,              0.0002999,              0.0002999
                     13,                 2.9697,                 4.3476,                 4.1629,                0.00023,                  0.075,                0.00013,                  4e-05,                  2.318,                 4.4614,                  4.143,             0.00031773,             0.00031773,             0.00031773
                     14,                 2.8434,                 4.1153,                 4.1921,                0.00023,                  0.075,                0.00013,                  4e-05,                 2.3159,                 4.4624,                 4.1405,             0.00033424,             0.00033424,             0.00033424
                     15,                 3.0168,                 4.0847,                 4.1254,                0.00015,                   0.05,                  8e-05,                  2e-05,                 2.3087,                 4.4649,                 4.1373,             0.00034942,             0.00034942,             0.00034942
                     16,                 2.5556,                 4.0549,                 4.1035,                0.00023,                  0.075,                0.00013,                  2e-05,                 2.3043,                 4.4632,                 4.1344,             0.00036329,             0.00036329,             0.00036329
                     17,                 2.6623,                 4.1075,                 4.0931,                0.00015,                   0.05,                  8e-05,                  2e-05,                 2.2997,                 4.4651,                 4.1311,             0.00037584,             0.00037584,             0.00037584
                     18,                 2.7927,                 3.9033,                 4.0838,                0.00023,                  0.075,                0.00013,                  3e-05,                 2.2917,                 4.4607,                 4.1274,             0.00038706,             0.00038706,             0.00038706
                     19,                 2.6022,                 3.9012,                 4.0489,                0.00023,                  0.075,                0.00013,                  5e-05,                  2.291,                 4.4211,                 4.1232,             0.00039697,             0.00039697,             0.00039697
                     20,                 2.7292,                 3.8008,                 4.0586,                0.00023,                  0.075,                0.00013,                  5e-05,                 2.2752,                 4.4091,                 4.1185,             0.00040555,             0.00040555,             0.00040555
                     21,                 2.5586,                  4.047,                 4.0643,                0.00023,                  0.075,                0.00013,                  5e-05,                 2.2764,                 4.4024,                 4.1144,             0.00041282,             0.00041282,             0.00041282
                     22,                 2.7232,                 3.7405,                 3.9916,                0.00023,                  0.075,                0.00013,                  4e-05,                 2.2661,                 4.3844,                 4.1111,             0.00041876,             0.00041876,             0.00041876
                     23,                 2.7452,                 3.4863,                 3.9423,                0.00022,                  0.075,                0.00013,                  4e-05,                  2.262,                 4.3748,                  4.107,             0.00042338,             0.00042338,             0.00042338
                     24,                 2.7104,                 3.5133,                 3.9034,                  8e-05,                  0.025,                  5e-05,                      0,                  2.253,                 4.3511,                 4.1029,             0.00042669,             0.00042669,             0.00042669
                     25,                 2.4721,                 3.5951,                 3.9165,                0.00022,                  0.075,                0.00013,                  5e-05,                 2.2433,                 4.3411,                 4.1028,             0.00042867,             0.00042867,             0.00042867
                     26,                 2.4462,                 3.4821,                 3.8829,                0.00023,                  0.075,                0.00013,                  4e-05,                 2.2388,                 4.3386,                 4.1025,             0.00042934,             0.00042934,             0.00042934
                     27,                 2.8544,                 3.4177,                 3.8477,                0.00015,                   0.05,                  8e-05,                  1e-05,                 2.2279,                 4.4028,                 4.1069,             0.00042868,             0.00042868,             0.00042868
                     28,                 2.5988,                 3.4479,                  3.855,                0.00015,                   0.05,                  8e-05,                  1e-05,                 2.2279,                 4.4028,                 4.1069,              0.0004267,              0.0004267,              0.0004267
                     29,                 2.4608,                 3.2541,                 3.7317,                0.00015,                   0.05,                  8e-05,                  1e-05,                 2.2368,                 4.4161,                 4.1133,              0.0004234,              0.0004234,              0.0004234
                     30,                 2.7221,                   3.26,                 3.8156,                  7e-05,                  0.025,                  4e-05,                      0,                 2.2445,                 4.4336,                 4.1249,             0.00041879,             0.00041879,             0.00041879
                     31,                 2.5962,                 3.0866,                 3.7402,                  7e-05,                  0.025,                  4e-05,                      0,                 2.2445,                 4.4336,                 4.1249,             0.00041285,             0.00041285,             0.00041285
                     32,                 2.4652,                 3.2367,                 3.6908,                  8e-05,                  0.025,                  4e-05,                      0,                 2.2658,                 4.4632,                  4.139,             0.00040559,             0.00040559,             0.00040559
                     33,                 2.4328,                 3.2924,                 3.6852,                  8e-05,                  0.025,                  4e-05,                      0,                 2.2767,                 4.4986,                 4.1531,             0.00039701,             0.00039701,             0.00039701
                     34,                 2.5724,                 3.1779,                 3.6587,                  8e-05,                  0.025,                  4e-05,                      0,                 2.2767,                 4.4986,                 4.1531,             0.00038711,             0.00038711,             0.00038711
                     35,                 2.3006,                 3.1772,                  3.567,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3225,                  4.428,                 4.1825,              0.0003759,              0.0003759,              0.0003759
                     36,                 2.5289,                  3.043,                 3.5291,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3527,                 4.4547,                 4.2076,             0.00036336,             0.00036336,             0.00036336
                     37,                  2.501,                 3.1556,                 3.5825,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3527,                 4.4547,                 4.2076,              0.0003495,              0.0003495,              0.0003495
                     38,                 2.4859,                 3.1982,                 3.5057,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3738,                  4.467,                 4.2247,             0.00033432,             0.00033432,             0.00033432
                     39,                 2.5404,                 3.0929,                 3.5055,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3688,                 4.5357,                 4.2161,             0.00031782,             0.00031782,             0.00031782
                     40,                 2.2512,                 2.7002,                 3.3838,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3688,                 4.5357,                 4.2161,                 0.0003,                 0.0003,                 0.0003
                     41,                 1.7595,                 3.6409,                 3.2662,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3614,                 4.5117,                 4.1961,             0.00028086,             0.00028086,             0.00028086
                     42,                 1.9017,                 3.5298,                 3.3763,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3499,                 4.8934,                 4.1756,              0.0002604,              0.0002604,              0.0002604
                     43,                 1.7587,                 3.4754,                 3.3181,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3499,                 4.8934,                 4.1756,             0.00023861,             0.00023861,             0.00023861
                     44,                 1.9175,                  3.481,                 3.2375,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3578,                 4.8621,                 4.1771,             0.00021551,             0.00021551,             0.00021551
                     45,                 1.6952,                 3.4158,                 3.3161,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3578,                 4.8621,                 4.1771,             0.00019109,             0.00019109,             0.00019109
                     46,                 1.8233,                 3.3292,                 3.1336,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3796,                 4.8016,                 4.1957,             0.00016535,             0.00016535,             0.00016535
                     47,                 1.8777,                 3.3509,                 3.2986,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3796,                 4.8016,                 4.1957,             0.00013829,             0.00013829,             0.00013829
                     48,                 1.8557,                 3.3165,                 3.1985,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3978,                 4.7446,                 4.2101,             0.00010991,             0.00010991,             0.00010991
                     49,                 1.9499,                 3.1947,                 3.2939,                  8e-05,                  0.025,                  4e-05,                      0,                 2.3978,                 4.7446,                 4.2101,             8.0203e-05,             8.0203e-05,             8.0203e-05
                     50,                 1.8279,                 3.3108,                 3.3838,                 0.0001,                  0.025,                  5e-05,                  1e-05,                 2.4093,                  4.709,                 4.2184,              4.918e-05,              4.918e-05,              4.918e-05
